user_id,content_id,view_date,minutes_watched,device_type,was_completed
358,68,2024-10-28,65,Mobile,0
964,137,2024-10-28,69,Tablet,0
329,181,2024-10-28,33,Web,0
329,110,2024-10-28,22,Mobile,0
182,191,2024-10-28,31,Tablet,0
182,166,2024-10-28,8,Mobile,0
182,17,2024-10-28,66,Smart TV,0
182,89,2024-10-28,14,Mobile,0
182,30,2024-10-28,59,Smart TV,0
817,19,2024-10-28,24,Tablet,0
817,9,2024-10-28,120,Smart TV,1
264,52,2024-10-28,35,Tablet,0
264,166,2024-10-28,87,Mobile,0
264,32,2024-10-28,13,Smart TV,0
571,47,2024-10-28,104,Web,1
571,2,2024-10-28,90,Tablet,0
571,6,2024-10-28,71,Mobile,0
803,75,2024-10-28,92,Mobile,0
803,132,2024-10-28,116,Mobile,1
761,176,2024-10-28,86,Tablet,0
761,71,2024-10-28,11,Smart TV,0
761,105,2024-10-28,17,Web,0
49,44,2024-10-28,106,Smart TV,1
49,92,2024-10-28,77,Tablet,0
49,79,2024-10-28,30,Smart TV,0
805,147,2024-10-28,108,Smart TV,1
606,99,2024-10-28,61,Mobile,0
606,198,2024-10-28,111,Smart TV,1
606,173,2024-10-28,68,Tablet,0
606,61,2024-10-28,92,Tablet,0
606,185,2024-10-28,30,Mobile,0
16,77,2024-10-28,8,Web,0
16,122,2024-10-28,69,Web,0
16,197,2024-10-28,3,Tablet,0
16,25,2024-10-28,78,Mobile,0
522,190,2024-10-28,82,Web,0
522,154,2024-10-28,69,Tablet,0
522,145,2024-10-28,73,Smart TV,0
522,117,2024-10-28,61,Smart TV,0
522,196,2024-10-28,70,Tablet,0
834,96,2024-10-28,92,Tablet,0
834,118,2024-10-28,87,Smart TV,0
834,121,2024-10-28,2,Web,0
799,28,2024-10-28,109,Tablet,1
799,89,2024-10-28,117,Web,1
324,46,2024-10-28,72,Web,0
324,47,2024-10-28,77,Smart TV,0
324,39,2024-10-28,72,Mobile,0
980,116,2024-10-28,84,Smart TV,0
980,129,2024-10-28,97,Tablet,1
716,4,2024-10-28,98,Web,1
716,154,2024-10-28,111,Mobile,1
716,167,2024-10-28,23,Tablet,0
716,199,2024-10-28,18,Smart TV,0
848,199,2024-10-28,44,Smart TV,0
848,199,2024-10-28,113,Web,1
848,113,2024-10-28,51,Web,0
848,80,2024-10-28,48,Tablet,0
848,100,2024-10-28,120,Tablet,1
687,180,2024-10-28,25,Web,0
687,23,2024-10-28,63,Tablet,0
835,16,2024-10-28,12,Tablet,0
835,25,2024-10-28,24,Mobile,0
995,127,2024-10-28,66,Tablet,0
995,106,2024-10-28,31,Tablet,0
995,105,2024-10-28,8,Smart TV,0
995,49,2024-10-28,6,Mobile,0
995,180,2024-10-28,10,Tablet,0
948,185,2024-10-28,7,Tablet,0
948,151,2024-10-28,56,Web,0
948,9,2024-10-28,71,Web,0
170,82,2024-10-28,6,Web,0
170,160,2024-10-28,10,Tablet,0
170,20,2024-10-28,56,Web,0
170,139,2024-10-28,60,Smart TV,0
854,133,2024-10-28,14,Web,0
854,188,2024-10-28,107,Mobile,1
882,193,2024-10-28,92,Web,0
882,14,2024-10-28,110,Web,1
882,20,2024-10-28,30,Mobile,0
882,186,2024-10-28,26,Mobile,0
882,17,2024-10-28,45,Tablet,0
925,24,2024-10-28,24,Tablet,0
925,160,2024-10-28,118,Web,1
925,196,2024-10-28,14,Smart TV,0
434,29,2024-10-28,46,Tablet,0
434,118,2024-10-28,28,Smart TV,0
434,191,2024-10-28,28,Smart TV,0
434,76,2024-10-28,117,Smart TV,1
434,107,2024-10-28,90,Tablet,0
563,175,2024-10-28,81,Smart TV,0
563,50,2024-10-28,23,Web,0
563,164,2024-10-28,113,Mobile,1
441,78,2024-10-28,81,Mobile,0
441,79,2024-10-28,36,Tablet,0
441,162,2024-10-28,108,Web,1
441,125,2024-10-28,102,Smart TV,1
441,69,2024-10-28,80,Tablet,0
930,33,2024-10-28,36,Mobile,0
930,127,2024-10-28,71,Mobile,0
930,94,2024-10-28,71,Tablet,0
930,9,2024-10-28,105,Smart TV,1
930,199,2024-10-28,18,Tablet,0
201,5,2024-10-28,84,Tablet,0
276,38,2024-10-28,101,Smart TV,1
276,128,2024-10-28,57,Tablet,0
276,7,2024-10-28,9,Mobile,0
276,61,2024-10-28,16,Mobile,0
828,49,2024-10-28,32,Tablet,0
828,80,2024-10-28,74,Smart TV,0
828,180,2024-10-28,65,Tablet,0
828,175,2024-10-28,53,Tablet,0
828,195,2024-10-28,38,Mobile,0
248,13,2024-10-28,50,Web,0
248,86,2024-10-28,19,Smart TV,0
248,6,2024-10-28,45,Web,0
385,132,2024-10-28,23,Web,0
385,58,2024-10-28,105,Mobile,1
